front,back,front_color,back_color,attemps,correct
"What is JJ Thomson's ""Plum Pudding"" model?","The plum pudding model is a theory for the structure of an atom, where:<ul><li>There is a large, positive nucleus.</li><li>There are small, scattered negative charges inside the nucleus to balance the charge.</li></ul>",,,0,0
What is the Rutherford alpha scattering experiment?,"<ul><li>A beam of alpha particles is directed at a thin gold (/ other large nucleus) foil (only a few atoms thick).</li><li>A microscope is placed at the edge, with a fluorescent screen attached to it.</li><li>The microscope can have its angle adjusted.</li><li>The experiment occurs in an evacuated chamber (so alpha particles do not collide with air).</li><li>Move the microscope to measure the intensity of alpha particles at different angles of deflection</li></ul>",,,0,0
What are the results of Rutherford's alpha particle scattering experiment?,<li><li>The majority of alpha particles passed directly through the foil.</li><li>A small number of particles (around 1/2000) scattered.</li><li>A very small number of particles (around 1/10000) scattered and deflected by more than 90 degrees.</li></li>,,,0,0
How can you use the energy of an alpha particle to determine the radius of a nucleus?,"Using coulomb's law:<br>E = Qq/4πε₀r<br>If the particle stops momentarily, all kinetic energy converted to electric potential.<br>KE = Qq/4πε₀r<br>r = Qq/4πε₀KE<br>(as long as KE of particle is known)",,,0,0
What is the nuclear model?,The nuclear model suggests that a nucleus is made of protons and neutrons.,,,0,0
How do you describe an element by its number of protons/neutrons?,Nucleon number (A) = total number of nucleons (protons + neutrons)<br>Proton Number (Z) = number of protons / number of electrons if not ionised.,,,0,0
What is an isotope?,An isotope is a variation of an element with the same number of protons but different number of neutrons. It will have the same chemical properties.,,,0,0
What is the atomic mass unit?,Atomic mass unit (u) = 1/12 the mass of a carbon-12 nucleus.<br>u = 1.661e-27kg,,,0,0
How can you estimate the radius of a nucleus?,"R = r₀∛A<br>R = radius, r₀ = constant (1.2e-15m)",,,0,0
What are the four fundamental forces?,<ol><li>Strong nuclear force</li><li>Weak nuclear force</li><li>Electrostatic force</li><li>Gravitational force</li></ol>,,,0,0
"What is meant by the ""nature of a force""?","The nature of a force is referring to:<ul><li>The distance that it acts over.</li><li>Whether it is attractive or repulsive.</li><li>The types of object that are affected (e.g. charged, massive)</li></ul>",,,0,0
How does the strong nuclear force change over distance?,"Over long distance (>3.0fm) there is little attraction.<br>Between 0.5fm-3.0fm, there is a strong attractive force.<br>Below 0.5fm, there is a strong repulsive force.",,,0,0
"What is a fundamental particle, and what are some examples?","A fundamental particle is a particle that is not made up of any smaller particles. Examples include electrons/positrons, neutrinos/antineutrinos, up/down/strange quarks.",,,0,0
What happens when a particle and an antiparticle meet?,They annihilate and are converted into energy.,,,0,0
What is the quark configuration of a proton and a neutron?,proton = up + up + down (p = uud)<br>neutron = up + down + down (n = udd),,,0,0
"State the two families of particles, giving examples of each. What is similar, and distinguishes them?","Hadrons are particles like protons, neutrons and mesons.<br>Leptons are particles like electrons, neutrinos and muons.<br>Hadrons are affected by the strong nuclear force. Leptons are not affected by the strong nuclear force. Hadrons are not fundamental particles while leptons are. Both decay via the weak nuclear force, and both are affected by the electrostatic force.",,,0,0
What is the difference between a baryon (bally on) and a meson?,"A baryon is a hadron made from 3 quarks or 3 antiquarks, for example protons and neutrons.<br>A meson is made from a quark-antiquark pair, for example a pi+ meson is made from an up and antidown quark.",,,0,0
What are the three types of neutrinos?,"Electron neutrino, mu neutrino, tau neutrino. (Plus all the anti variants)",,,0,0
What are the equations for:<br><ul><li>Beta minus decay.</li><li>Beta plus decay.</li></ul>,"<ul><li>n → p + e + ¬Ve.</li><li>p → n + e+ + Ve.</li></ul><br>(e = electron, e+ = positron, ¬Ve = antielectron neutrino, Ve = electron neutrino)<br>In exam, you need to write electrons like they are elements, so nucleon number = 0, charge = -1, symbol = e. Same with protons/neutrons.",,,0,0
"What properties do you need to know for each kind of radiation (alpha, beta, gamma)?",You should be able to say:<br><ul><li>Charge</li><li>Mass</li><li>Ionising power (low-high)</li><li>Penetration power (example of a material that can stop it)</li></ul>,,,0,0
What is meant by ionising radiation?,Ionising radiation is radiation that can remove electrons from atoms and turn them into ions.,,,0,0
Why is alpha radiation the most ionising?,"As it has the most mass and most charge, it is more likely to interact with surrounding particles and ionise them.",,,0,0
